timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
1,0.000,0.000,50160.000,37.353,0.000,50153.000
50586,12274.176,642.471,50000.000,15299.764,1815.353,50000.000
100779,17294.410,956.235,50000.000,18937.939,3376.706,50000.000
150788,20282.646,1441.823,50000.000,20305.057,5550.646,50000.000
200793,24637.998,455.706,50000.000,22934.705,5020.235,50000.000
250781,26124.645,410.882,50000.000,24944.293,4960.470,50000.000
300782,26595.293,134.471,50000.000,25093.705,3810.000,50001.000
350794,26692.410,-321.235,50000.000,26206.822,2883.647,49999.000
400816,26550.469,-567.765,50000.000,26236.705,2921.000,50000.000
450786,25653.998,-1150.470,50000.000,25945.352,1942.353,50000.000
500797,23651.881,-986.118,50000.000,23875.998,2876.176,50000.000
550789,21814.115,156.882,50000.000,21126.822,4198.470,50000.000
600793,18146.057,-1307.353,50000.000,19490.764,3496.235,50000.000
650792,12647.705,-2091.765,50000.000,15411.822,283.882,50000.000
700789,6992.470,-971.176,50000.000,9151.470,-1397.000,50000.000
750779,2330.823,-395.941,50000.000,2823.882,463.176,50000.000
800771,-2315.882,254.000,50000.000,-3944.470,1628.588,50000.000
850782,-8404.411,-119.529,50000.000,-9539.940,373.529,50000.000
900779,-12714.940,-74.706,50000.000,-14440.646,-209.176,50000.000
950784,-16988.117,881.529,50000.000,-19393.646,22.412,50000.000
1000783,-20559.057,89.647,50000.000,-22127.881,-246.529,50000.000
1050777,-22224.998,-1546.412,50000.000,-23487.527,-709.706,50000.000
1100797,-21918.705,-5050.117,50000.000,-22852.527,-74.706,50000.000
1150789,-18728.764,-4878.294,50000.000,-21829.057,1023.471,50001.000
1200808,-19363.764,-2853.764,50000.000,-22000.881,366.059,49999.000
1250806,-20327.469,-2719.294,50000.000,-21597.469,-224.118,50000.000
1300792,-19348.822,-1120.588,50000.000,-21194.057,-702.235,50000.000
1350799,-19087.352,-1202.765,50000.000,-20290.117,-2032.000,50000.000
1400792,-18661.527,-2457.823,50000.000,-19094.822,-5685.117,50000.000
1450811,-16704.234,-3735.294,50000.000,-17548.410,-5983.941,50000.000
1500800,-14470.528,-2099.235,50000.000,-14709.587,-5363.882,50000.000
1550801,-12154.646,-605.118,50000.000,-13080.999,-3563.470,50000.000
1600796,-9861.176,-821.765,50000.000,-11317.940,-1651.000,50000.000
1650787,-4803.588,-1389.529,50000.000,-8359.588,-1531.470,50000.000
1700791,-4557.059,-724.647,50000.000,-6335.059,-3130.176,50000.000
1750782,-4340.412,694.765,50000.000,-5117.353,-2383.117,50000.000
1800783,-1486.647,261.471,50000.000,-1636.059,-67.235,50000.000
1850764,1352.176,-657.412,50000.000,1725.706,1068.294,50000.000
1900776,3062.941,-410.882,50000.000,3279.588,52.294,50000.000
1950764,3533.588,-112.059,50000.000,5393.764,-993.588,50000.000
2000775,4586.941,440.765,50000.000,7448.176,933.823,50000.000
2050764,8830.234,859.118,50000.000,10055.411,4265.706,50000.000
2100776,11855.822,605.118,50000.000,12445.999,4572.000,50001.000
2150809,12647.705,-216.647,50000.000,13850.470,2106.706,50000.000
2200782,12647.705,522.941,50000.000,14029.764,500.529,49999.000
2250794,12797.117,620.059,50000.000,14156.764,22.412,50000.000
2300769,13207.999,1001.059,50000.000,14134.352,1172.882,50000.000
2350791,14253.882,306.294,50000.000,14515.352,2562.412,50000.000
2400789,14851.528,-403.412,50000.000,16009.470,2144.059,50000.000
2450783,14223.999,732.118,50000.000,14746.940,2711.823,50000.000
2500796,13626.352,1845.235,50000.000,13999.882,2345.765,50000.000
2550797,13230.411,2808.941,50000.000,13379.822,4138.706,50000.000
2600792,13611.411,2121.647,50000.000,12998.822,5057.588,50000.000
2650799,12804.587,1307.353,50000.000,13178.117,2674.470,50000.000
2700793,12072.470,343.647,50000.000,12752.293,1576.294,50000.000
